"samples","max_rhat","divergent_transitions","per_divergent_transitions","max_treedepth","no_at_max_treedepth","per_at_max_treedepth","slide","type"
5000,1.004,0,0,10,2269,0.4538,560,"weekly"
5000,1.004,0,0,9,2277,0.4554,574,"weekly"
5000,1.001,0,0,9,3174,0.6348,588,"weekly"
5000,1.006,2,4e-04,9,29,0.0058,602,"weekly"
5000,1.003,0,0,9,954,0.1908,616,"weekly"
5000,1.003,0,0,9,2,4e-04,630,"weekly"
5000,1.003,0,0,10,127,0.0254,644,"weekly"
5000,1.002,0,0,9,4652,0.9304,658,"weekly"
5000,1.004,0,0,10,896,0.1792,672,"weekly"
5000,1.003,0,0,10,422,0.0844,686,"weekly"
5000,1.004,0,0,10,1,2e-04,700,"weekly"
5000,1.003,0,0,10,2790,0.558,714,"weekly"
5000,1.002,0,0,11,1,2e-04,728,"weekly"
5000,1.005,0,0,10,21,0.0042,742,"weekly"
5000,1.011,0,0,12,3,6e-04,756,"weekly"
5000,1.005,0,0,11,18,0.0036,770,"weekly"
5000,1.004,0,0,10,1334,0.2668,784,"weekly"
