"samples","max_rhat","divergent_transitions","per_divergent_transitions","max_treedepth","no_at_max_treedepth","per_at_max_treedepth","slide","type"
5000,1.005,0,0,10,2150,0.43,560,"weekly"
5000,1.005,0,0,9,860,0.172,574,"weekly"
5000,1.002,0,0,9,1006,0.2012,588,"weekly"
5000,1.002,0,0,8,1079,0.2158,602,"weekly"
5000,1.002,0,0,8,1182,0.2364,616,"weekly"
5000,1.003,0,0,8,640,0.128,630,"weekly"
5000,1.003,0,0,9,998,0.1996,644,"weekly"
5000,1.003,0,0,11,67,0.0134,658,"weekly"
5000,1.001,4,8e-04,10,1353,0.2706,672,"weekly"
5000,1.003,0,0,11,93,0.0186,686,"weekly"
5000,1.002,0,0,10,267,0.0534,700,"weekly"
5000,1.002,0,0,9,2972,0.5944,714,"weekly"
5000,1.003,0,0,10,699,0.1398,728,"weekly"
5000,1.005,0,0,9,2925,0.585,742,"weekly"
5000,1.013,14,0.0028,10,1914,0.3828,756,"weekly"
5000,1.003,0,0,11,1,2e-04,770,"weekly"
5000,1.003,0,0,9,1345,0.269,784,"weekly"
