"samples","max_rhat","divergent_transitions","per_divergent_transitions","max_treedepth","no_at_max_treedepth","per_at_max_treedepth","slide","type"
5000,1.005,0,0,9,777,0.1554,574,"weekly"
5000,1.001,0,0,10,7,0.0014,588,"weekly"
5000,1.003,2,4e-04,9,1187,0.2374,602,"weekly"
5000,1.006,0,0,10,735,0.147,616,"weekly"
5000,1.002,3,6e-04,9,496,0.0992,630,"weekly"
5000,1.004,3,6e-04,10,1127,0.2254,644,"weekly"
5000,1.009,0,0,12,1638,0.3276,658,"weekly"
5000,1.035,88,0.0176,11,1145,0.229,672,"weekly"
5000,1.001,0,0,10,679,0.1358,686,"weekly"
5000,1.002,0,0,10,151,0.0302,700,"weekly"
5000,1.002,0,0,9,583,0.1166,714,"weekly"
5000,1.002,0,0,9,3679,0.7358,728,"weekly"
5000,1.003,0,0,9,2014,0.4028,742,"weekly"
5000,1.005,12,0.0024,9,3035,0.607,756,"weekly"
5000,1.006,0,0,11,1097,0.2194,770,"weekly"
5000,1.002,0,0,10,1149,0.2298,784,"weekly"
